JOB_DISCIPLINE_NAME,Standard Craft,Craft Grouping
Rigging (Fab),09-Riggers (Incl. Operators),RIGR
Crane Operator (Fab),09-Riggers (Incl. Operators),RIGR
Laborer (Fab),09-Riggers (Incl. Operators),RIGR
Administration (OffCon),09-Riggers (Incl. Operators),RIGR
Brick Mason (Fab),09-Riggers (Incl. Operators),RIGR
Crane Operator (OffCon),09-Riggers (Incl. Operators),RIGR
Equipment & Machinery (Mar),09-Riggers (Incl. Operators),RIGR
Equipment & Machinery (OffCon),09-Riggers (Incl. Operators),RIGR
Material Management (SC),09-Riggers (Incl. Operators),RIGR
MWB - Below Deck (OffCon),09-Riggers (Incl. Operators),RIGR
Rigging (OffCon),09-Riggers (Incl. Operators),RIGR
Carpenter,09-Riggers (Incl. Operators),RIGR
Carpenter 1,09-Riggers (Incl. Operators),RIGR
Carpenter Foreman,09-Riggers (Incl. Operators),RIGR
Crane Operator,09-Riggers (Incl. Operators),RIGR
Crane Operator 1,09-Riggers (Incl. Operators),RIGR
Crane Operator 2,09-Riggers (Incl. Operators),RIGR
Crane Operator 3,09-Riggers (Incl. Operators),RIGR
Crane Operator 4,09-Riggers (Incl. Operators),RIGR
Crane Operator Foreman,09-Riggers (Incl. Operators),RIGR
Fabrication Rigger,09-Riggers (Incl. Operators),RIGR
Fabrication Rigger Trainee,09-Riggers (Incl. Operators),RIGR
Facilities Foreman 4,09-Riggers (Incl. Operators),RIGR
Forklift Operator,09-Riggers (Incl. Operators),RIGR
Forklift Operator 1,09-Riggers (Incl. Operators),RIGR
Forklift Operator 2,09-Riggers (Incl. Operators),RIGR
Laborer 1,09-Riggers (Incl. Operators),RIGR
Machinist,09-Riggers (Incl. Operators),RIGR
Material Management (Proc),09-Riggers (Incl. Operators),RIGR
Materials Administrator,09-Riggers (Incl. Operators),RIGR
Rigger,09-Riggers (Incl. Operators),RIGR
Rigging 1,09-Riggers (Incl. Operators),RIGR
Rigging 2,09-Riggers (Incl. Operators),RIGR
Rigging 3,09-Riggers (Incl. Operators),RIGR
Rigging 4,09-Riggers (Incl. Operators),RIGR
Rigging Foreman,09-Riggers (Incl. Operators),RIGR
Senior Materials Administrator,09-Riggers (Incl. Operators),RIGR
Warehouse Worker,09-Riggers (Incl. Operators),RIGR
Warehouseman,09-Riggers (Incl. Operators),RIGR
9 Rigging (Fab),09-Riggers (Incl. Operators),RIGR
Laborer (Fab)-E & M,09-Riggers (Incl. Operators),RIGR
Rigging (Fab)-DIVING,09-Riggers (Incl. Operators),RIGR
Rigging (Fab)-E & M,09-Riggers (Incl. Operators),RIGR
Rigging (Fab)-Marine Rigging,09-Riggers (Incl. Operators),RIGR
Rigging (Fab)-SAFETY,09-Riggers (Incl. Operators),RIGR
Warehouseman Trainee,09-Riggers (Incl. Operators),RIGR
Brick Mason ,09-Riggers (Incl. Operators),RIGR
Laborer ,09-Riggers (Incl. Operators),RIGR
Accommodation (Gen Svc),Not used for Std Craft,Not used for Std Craft
Accounting,Not used for Std Craft,Not used for Std Craft
Accounts Payable,Not used for Std Craft,Not used for Std Craft
Architectural,Not used for Std Craft,Not used for Std Craft
Assistant Superintendent (OffCon),Not used for Std Craft,Not used for Std Craft
Audit,Not used for Std Craft,Not used for Std Craft
Barge (OffCon),Not used for Std Craft,Not used for Std Craft
Barge Electrician,Not used for Std Craft,Not used for Std Craft
Barge Engineer,Not used for Std Craft,Not used for Std Craft
Barge Management (OffCon),Not used for Std Craft,Not used for Std Craft
Business Development,Not used for Std Craft,Not used for Std Craft
Buyer (SC),Not used for Std Craft,Not used for Std Craft
Civil,Not used for Std Craft,Not used for Std Craft
Commercial (Com),Not used for Std Craft,Not used for Std Craft
Commissioning (Eng),Not used for Std Craft,Not used for Std Craft
Communications,Not used for Std Craft,Not used for Std Craft
Completions (Fab),Not used for Std Craft,Not used for Std Craft
Completions (OnsCon),Not used for Std Craft,Not used for Std Craft
Construction,Not used for Std Craft,Not used for Std Craft
Construction (Fab),Not used for Std Craft,Not used for Std Craft
Construction Support (Eng),Not used for Std Craft,Not used for Std Craft
Contract & Project Strategy,Not used for Std Craft,Not used for Std Craft
Contracts (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Controls (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Coordination,Not used for Std Craft,Not used for Std Craft
Costing (ProjCtrl),Not used for Std Craft,Not used for Std Craft
Counsel (Sust & Gov),Not used for Std Craft,Not used for Std Craft
Crew Scheduling (GenSvc),Not used for Std Craft,Not used for Std Craft
Design (Eng),Not used for Std Craft,Not used for Std Craft
Digital Technology,Not used for Std Craft,Not used for Std Craft
Diving Operations (Div),Not used for Std Craft,Not used for Std Craft
DP&I,Not used for Std Craft,Not used for Std Craft
Electrical (Eng),Not used for Std Craft,Not used for Std Craft
Electrical Design (Dr/Des),Not used for Std Craft,Not used for Std Craft
Employment Tax,Not used for Std Craft,Not used for Std Craft
Engineering (Eng),Not used for Std Craft,Not used for Std Craft
Environment (HSES),Not used for Std Craft,Not used for Std Craft
Equipment & Machinery (Eng),Not used for Std Craft,Not used for Std Craft
Estimating,Not used for Std Craft,Not used for Std Craft
